pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
BD-08 2823 c,1,,150.1971964,-9.5165689,248.49513,34.75486,4746.0,41.3342,0.0685,-0.0682
HR 8799 c,1,3000.0,346.8701486,21.1340376,92.7646,-35.57552,,41.2441,0.1515,-0.1505
WASP-62 b,1,165.2716,87.1398205,-63.9883286,273.41568,-31.03364,6230.0,175.631,0.59,-0.586
HD 110014 b,1,,189.8111935,-7.9956702,297.69653,54.75208,4445.0,100.758,1.97315,-1.97315
HIP 5158 b,1,,16.5094891,-22.4536134,159.04576,-84.27097,4962.0,51.6026,0.1043,-0.1039
HD 132563 b,1,,224.5892892,44.0428571,74.89413,59.44282,6289.0,105.155,0.282,-0.282
CHXR 73 b,1,3994.486,166.6193985,-77.6258725,297.2776,-15.92181,,190.374,6.647,-6.22
alf Ari b,1,,31.793286,23.462421,144.57834,-36.20556,4553.0,20.21019,0.404367,-0.404367
Kepler-400 b,1,,290.9444679,40.4800528,72.6919,11.58428,5886.0,845.97,,
Kepler-221 b,1,,296.6547477,46.8352242,80.37293,10.80167,5243.0,385.231,2.8335,-2.8335
Kepler-367 c,1,,297.292558,49.9817499,83.40326,11.92128,4710.0,188.027,0.86,-0.854
Kepler-393 c,1,,290.995205,45.192188,77.06756,13.57678,6189.0,881.404,14.022,-13.598
Kepler-304 c,1,,294.4418031,40.5575408,73.9863,9.2491,4731.0,434.684,5.295,-5.171
Kepler-360 b,1,,286.2847077,44.7815817,75.2999,16.46655,6053.0,876.044,15.581,-15.054
Kepler-243 c,1,,285.1104819,42.0339619,72.31271,16.2214,5228.0,693.86,9.796,-9.532
Kepler-261 c,1,,291.3647333,37.609239,70.2185,10.02041,5098.0,317.499,1.756,-1.737
Kepler-327 d,1,,292.6422963,44.0876251,76.56618,12.0424,3799.0,241.987,1.469,-1.469
Kepler-136 b,1,,296.4673039,42.5987984,76.53433,8.8879,6165.0,420.818,4.389,-4.3
Kepler-157 c,1,,291.0972257,38.8756049,71.27591,10.77283,5774.0,773.713,10.485,-10.485
Kepler-239 b,1,,294.2020505,40.6633313,73.99484,9.45945,4914.0,648.109,13.332,-13.332
Kepler-200 b,1,,284.4099503,41.2374928,71.33871,16.40754,5678.0,665.912,7.1445,-7.1445
Kepler-243 b,1,,285.1104819,42.0339619,72.31271,16.2214,5228.0,693.86,9.796,-9.532
Kepler-172 c,1,,283.3684093,41.821839,71.60688,17.34751,5526.0,828.592,18.482,-17.707
